class,WLdif,PWR,HomeAdv,MIN,PTS,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PM,stability
1,0.274916998656239,0,1,-13.745849932812007,2.948505975812296,2.5498339973124757,-6.948505975812296,5.849169986562394,0.6495019919374343,-9.450166002687514,9.648837981187338,-2.8006640107500846,-3,-5.043851262350515,0.1511620188126539,6.700996016125131,6.85215803493778,6.39867197849982,-4.80066401075009,5.051494024187699,5.649501991937429,7.0000000000000036,14.601328021500176,0.10817265762320707
1,0.06115656802654146,0,1,5.684341886080802e-14,-16.446845948937053,-3.948505975812296,-6.446845948937067,-1.3948505975812253,-2.9485059758122993,-3.2475099596871715,-4.9581407698997495,-5.601328021500171,-5.7524900403128285,-5.892526559955925,-3.3986719784998254,8.299003983874876,4.900332005375056,-5.598007967749734,-0.4501660026875207,1.7009960161251323,7.749169986562395,-0.7491699865623858,5.154482072563096,0.030864197530864196
0,-0.06758846043224864,0,0,-5.684341886080802e-14,16.446845948937053,3.948505975812296,6.446845948937067,1.3948505975812253,2.9485059758122993,3.2475099596871715,4.9581407698997495,5.601328021500171,5.7524900403128285,5.892526559955925,3.3986719784998254,-8.299003983874876,-4.900332005375056,5.598007967749734,0.4501660026875207,-1.7009960161251323,-7.749169986562395,0.7491699865623858,-5.154482072563096,-0.030864197530864196
0,-0.274916998656239,0,0,13.745849932812007,-2.948505975812296,-2.5498339973124757,6.948505975812296,-5.849169986562394,-0.6495019919374343,9.450166002687514,-9.648837981187338,2.8006640107500846,3,5.043851262350515,-0.1511620188126539,-6.700996016125131,-6.85215803493778,-6.39867197849982,4.80066401075009,-5.051494024187699,-5.649501991937429,-7.0000000000000036,-14.601328021500176,-0.10817265762320707
1,-0.2679219604719367,0,0,-2.842170943040401e-14,-2.52152372792861,1.728072368880774,4.527502463002634,-0.8105767764700644,-1.700996016125135,3.871169515497183,-10.16788875366587,-4.276672449565023,-3.103178896442527,-10.648603301361888,1.7268384522525446,-6.0750594751257765,-4.34822102287324,2.2497869448765044,3.0492170389983615,0.9987660833717689,-1.0785703769433432,-1.177004454940068,-3.2483621801811466,0.1704152249134948
1,0.824750995968717,0,0,-13.745849932812007,8.545941399360657,-0.10336974450965641,2.4112908210747293,0.03598236041501934,2.4971060564965484,3.7808003096967013,5.439361766957532,6.255574831883411,1.7584687753868629,27.051466835768743,2.48179632582184,3.175770538311834,5.657566864133678,1.4195787481143078,6.1734935531225,1.826506446877501,-2.854625868194253,-1.5252254778132972,18.597626271615482,0.07807363576594345
0,-0.1777386295546698,0,0,0,-18.05149402418772,-5.450166002687524,-10.900332005375034,-0.609966799462498,-7.900332005375045,-15.951826029562739,-8.298339973124772,0.7491699865623893,3.552713678800501e-15,1.1616301454432971,-2,2.099667994624948,0.09966799462494436,-2.7009960161251385,1.7491699865623893,0.3986719784998227,1.099667994624955,0.6976759623746887,-5.4568061101884044,-0.03811034217608612
0,0.27991314839549,0,1,2.842170943040401e-14,2.52152372792861,-1.728072368880774,-4.527502463002634,0.8105767764700644,1.700996016125135,-3.871169515497183,10.16788875366587,4.276672449565023,3.103178896442527,10.648603301361888,-1.7268384522525446,6.0750594751257765,4.34822102287324,-2.2497869448765044,-3.0492170389983615,-0.9987660833717689,1.0785703769433432,1.177004454940068,3.2483621801811466,-0.1704152249134948
1,0.1964315644024418,0,1,0,18.05149402418772,5.450166002687524,10.900332005375034,0.609966799462498,7.900332005375045,15.951826029562739,8.298339973124772,-0.7491699865623893,-3.552713678800501e-15,-1.1616301454432971,2,-2.099667994624948,-0.09966799462494436,2.7009960161251385,-1.7491699865623893,-0.3986719784998227,-1.099667994624955,-0.6976759623746887,5.4568061101884044,0.03811034217608612
0,-0.8616637752174886,0,1,13.745849932812007,-8.545941399360657,0.10336974450965641,-2.4112908210747293,-0.03598236041501934,-2.4971060564965484,-3.7808003096967013,-5.439361766957532,-6.255574831883411,-1.7584687753868629,-27.051466835768743,-2.48179632582184,-3.175770538311834,-5.657566864133678,-1.4195787481143078,-6.1734935531225,-1.826506446877501,2.854625868194253,1.5252254778132972,-18.597626271615482,-0.07807363576594345
