,precision,recall,f1-score,support
0.0,0.7101710171017102,0.7319109461966605,0.7208771128369118,1078.0
1.0,0.7244995233555768,0.7024029574861368,0.7132801501642422,1082.0
accuracy,0.7171296296296297,0.7171296296296297,0.7171296296296297,0.7171296296296297
macro avg,0.7173352702286435,0.7171569518413987,0.717078631500577,2160.0
weighted avg,0.7173485373640637,0.7171296296296297,0.7170715972758801,2160.0
