,precision,recall,f1-score,support
0.0,0.716105550500455,0.7300556586270872,0.7230133210840607,1078.0
1.0,0.7257304429783223,0.711645101663586,0.7186187587494167,1082.0
accuracy,0.7208333333333333,0.7208333333333333,0.7208333333333333,0.7208333333333333
macro avg,0.7209179967393886,0.7208503801453365,0.7208160399167387,2160.0
weighted avg,0.720926908676868,0.7208333333333333,0.72081197087754,2160.0
